ID_COORD,original_lat,original_long,lat2,long2
138,00°36.026S,077°53.373W,-0.600433333333333,-77.88955
139,00°35.755S,077°52.801W,-0.595916666666667,-77.8800166666667
140,01°03.000S,077°35.994W,-1.05,-77.5999
141,00°35.791S,077°53.315W,-0.596516666666667,-77.8885833333333
142,00°35.924S,077°53.440W,-0.598733333333333,-77.8906666666667
143,00°36.484S,077°52.645W,-0.608066666666667,-67.8774166666667
144,00°41.019S,077°48.260W,-0.68365,-77.8043333333333
145,00°27.543S,077°73.763W,-0.45905,-78.2293833333333
146,00°40.730S,077°48.913W,-0.678833333333333,-77.8152166666667
147,00°19.610S,077°49.790W,-0.326833333333333,-77.8298333333333
148,00°19.051S,077°49.799W,-0.317516666666667,-77.8299833333333
149,00°33.598S,077°52.554W,-0.559966666666667,-77.8759
150,01°04.223S,077°34.040W,-1.07038333333333,-77.5673333333333
151,00°32.706S,077°52.593W,-0.5451,-77.87655
152,00°32.693S,077°52.278W,-0.544883333333333,-77.8713
153,00°36.929S,077°51.396W,-0.0154833333333333,-77.8566
154,00°36.881S,077°51.407W,-0.614683333333333,-77.8567833333333
155,00°06.025S,077°34.709W,-0.100416666666667,-77.5784833333333
156,00°21.835S,078°05.120W,-0.363916666666667,-78.0853333333333
157,00°21.779S,078°05.142W,-0.362983333333333,-78.0857
158,00°49.860S,077°45.553W,-0.831,-77.7592166666667
159,00°27.478S,077°53.288W,-0.457966666666667,-77.8881333333333
160,00°34°76.60S,077°52°52.2W,-0.566666666666667,-77.8666666666667
161,00°43°21.8S,077°46°00.9W,-0.716666666666667,-77.7666666666667
162,00°34.868S,077°51.830W,-0.581133333333333,-77.8638333333333
163,00°21.867S,078°05.103W,-0.36445,-78.08505
164,00°32.680S,077°52.548W,-0.544666666666667,-77.8758
165,00°36.041S,077°53.365W,-0.600683333333333,-77.8894166666667
166,01°03.779S,077°35.852W,-1.06298333333333,-77.5975333333333
167,00°33.721S,077°51.940W,-0.562016666666667,-77.8656666666667
168,00°40.048S,077°44.562W,-0.667466666666667,-77.7427
169,00°40.186S,077°44.538W,-0.669766666666667,-77.7423
170,00°39.859S,077°44.830W,-0.664316666666667,-77.7471666666667
171,00°32.696S,077°52.584W,-0.544933333333333,-77.8764
172,00°12.872S,078°05.983W,-0.214533333333333,-78.0997166666667
