original_lat,original_long,long2,lat2,manual_rev
00°13.070S,078°02.203W,-78.0367166666667,-0.217833333333333,
0°13.1.5S,077°44.18.2W,-77.7363666666667,-0.219166666666667,
00°35°49S,077°53°11W,-77.8833333333333,-0.583333333333333,
00°35.49S,077°53.12W,-77.8853333333333,-0.5915,
"0°37'55.6""","077°53'48.1""",-77.8833333333333,-0.616666666666667,
00°36°00.2S,077°53°12.6W,-77.8833333333333,-0.6,
"0°41´29.5""S","077°43´50.1""W",-77.7166666666667,-0.683333333333333,
00°36.04S,077°53.03W,-77.8838333333333,-0.600666666666667,
00°31.52S,077°52.59W,-77.8765,-0.525333333333333,
00°43.45S,077°46.25W,-77.7708333333333,-0.724166666666667,
00°05.54S,077°35.01W,-77.5835,-0.0923333333333333,
00°36.00S,077°52.54W,-77.8756666666667,-0.6,
00°35.54S,077°53.06W,-77.8843333333333,-0.592333333333333,
00°35.54S,077°53.05W,-77.8841666666667,-0.592333333333333,
00°35.19S,077°52.52W,-77.8753333333333,-0.5865,
00°35.49S,077°53°09W,-77.8833333333333,-0.5915,
00°35°59S,077°52°53W,-77.8666666666667,-0.583333333333333,
00°35°56S,077°53°09W,-77.8833333333333,-0.583333333333333,
00°35°51S,077°53°06W,-77.8833333333333,-0.583333333333333,
00°35°52S,077°53°05W,-77.8833333333333,-0.583333333333333,
00°35°54S,077°52°58W,-77.8666666666667,-0.583333333333333,
00°36°04S,077°53°02W,-77.8833333333333,-0.6,
00°35°27S,077°53°47W,-77.8833333333333,-0.583333333333333,
00°35°52S,077°52°59W,-77.8666666666667,-0.583333333333333,
00°35°51S,077°52°59W,-77.8666666666667,-0.583333333333333,
00°35°52S,077°53°15W,-77.8833333333333,-0.583333333333333,
00°36°05S,077°53°13W,-77.8833333333333,-0.6,
00°35°58S,077°52°54W,-77.8666666666667,-0.583333333333333,
00°35°41S,077°53°33W,-77.8833333333333,-0.583333333333333,
00°34°58S077°52°35W,077°52°35W,-77.8666666666667,-0.566666666666667,
00°35°55S,077°53°02W,-77.8833333333333,-0.583333333333333,
00°32°28S,077°52°29W,-77.8666666666667,-0.533333333333333,
00°35°33S,077°53°04W,-77.8833333333333,-0.583333333333333,
00°35°49S,077°53°18W,-77.8833333333333,-0.583333333333333,
00°33°12S,077°52°32W,-77.8666666666667,-0.55,
00°36°05.3S,077°53°11.2W,-77.8833333333333,-0.6,
00°36°17.3S,077°53°11.1W,-77.8833333333333,-0.6,
00°35°56S,077°53.427W,-85.9,-0.583333333333333,yes
00°35°48.2S,077°53°44.0W,-77.8833333333333,-0.583333333333333,
00°35°48.2S,077°53°44.5W,-77.8833333333333,-0.583333333333333,
00°34°50.3S,077°52°32.4W,-77.8666666666667,-0.566666666666667,
00°36°14.7S,077°53°06.9W,-77.8833333333333,-0.6,
00°36°14.6S,077°53°06.8W,-77.8833333333333,-0.6,
00°35°89.4S,077°54°51.0W,-77.9,-0.583333333333333,
00°35°89.3S,077°54°14.5W,-77.9,-0.583333333333333,
00°35°56.0S,077°53°23.8W,-77.8833333333333,-0.583333333333333,
00°35°12.2S,077°53°08.0W,-77.8833333333333,-0.583333333333333,
00°36°12.0S,077°53°07.8W,-77.8833333333333,-0.6,
00°35°55.9S,077°53°23.5W,-77.8833333333333,-0.583333333333333,
00°35°55.9S,077°53°33.5W,-77.8833333333333,-0.583333333333333,
00°35°55.9S,077°53°19.8W,-77.8833333333333,-0.583333333333333,
00°35°57.6S,077°53°41.6W,-77.8833333333333,-0.583333333333333,
00°35°56.8S,077°53°43.7W,-77.8833333333333,-0.583333333333333,
00°35°57.2S,077°53°43.7W,-77.8833333333333,-0.583333333333333,
00°36°00.2S,077°53°18.3W,-77.8833333333333,-0.6,
00°35°48.7S,077°53°21.9W,-77.8833333333333,-0.583333333333333,
00°36°17.8S,077°53°22.7W,-77.8833333333333,-0.6,
00°36°17.6S,077°53°08.0W,-77.8833333333333,-0.6,
00°36°18.2S,077°53°07.7W,-77.8833333333333,-0.6,
00°35°03.4S,077°52°31.0W,-77.8666666666667,-0.583333333333333,
00°35°55.2S,077°5°21.8W,-77.0833333333333,-0.583333333333333,
00°35°55.9S,077°53°23.3W,-77.8833333333333,-0.583333333333333,
00°36°02.5S,077°53°21.3W,-77.8833333333333,-0.6,
00°36°04.7S,077°53°23.9W,-77.8833333333333,-0.6,
00°34°45.5S,077°52°34.5W,-77.8666666666667,-0.566666666666667,
00°35°963S,077°53°311W,-77.8833333333333,-0.583333333333333,
00°35°232S,077°52°552W,-77.8666666666667,-0.583333333333333,
00°35°242S,077°53°580W,-77.8833333333333,-0.583333333333333,
00°36°25.6S,077°53°22.4W,-77.8833333333333,-0.6,
00°38°41.6S,077°54°51.7W,-77.9,-0.633333333333333,
00°36°37.5S,077°53°14.1W,-77.8833333333333,-0.6,
00°36°34.6S,077°53°13.1W,-77.8833333333333,-0.6,
00°36°10.7S,077°53°13.1W,-77.8833333333333,-0.6,
00°36°23.9S,077°53°21.7W,-77.8833333333333,-0.6,
00°43°38.8S,077°46°22.0W,-77.7666666666667,-0.716666666666667,
01°04°27S,077°57°23.4W,-77.95,-1.06666666666667,
00°42°40.7S,077°42°32.5W,-77.7,-0.7,
00°43°36.9S,077°46°25.3W,-77.7666666666667,-0.716666666666667,
00°36°10.3S,077°53°14.3W,-77.8833333333333,-0.6,
00°36°04.0S,077°53°02.9W,-77.8833333333333,-0.6,
00°58°92.6S,077°88°38.5W,-78.4666666666667,-0.966666666666667,
00°59°76.3S,077°88°73.8W,-78.4666666666667,-0.983333333333333,
00°60°14.8S,077°88°32.6W,-78.4666666666667,-1,
00°59°70.8S,077°88°55.7W,-78.4666666666667,-0.983333333333333,
00°59°77.8S,077°88°15.2W,-78.4666666666667,-0.983333333333333,
00°35°48.1S,077°53°16.5W,-77.8833333333333,-0.583333333333333,
00°35°54.5S,077°53°03.0W,-77.8833333333333,-0.583333333333333,
00°36°07.0S,077°53°00.7W,-77.8833333333333,-0.6,
00°36°01.0S,077°52°53.2W,-77.8666666666667,-0.6,
00°35°50.1S,077°53°12.8W,-77.8833333333333,-0.583333333333333,
00°35°50.02S,077°53°08.0W,-77.8833333333333,-0.583333333333333,
00°36°60.65S,077°53°09.23W,-77.8833333333333,-0.6,
00°35°3.78S,077°53°15.5W,-77.8833333333333,-0.583333333333333,
00°36°00.81S,077°53°11.9W,-77.8833333333333,-0.6,
00°36°60.50S,077°53°13.3W,-77.8833333333333,-0.6,
00°35°51.1S,077°53°05.1W,-77.8833333333333,-0.583333333333333,
00°36°05.5S,077°53°37.3W,-77.8833333333333,-0.6,
00°35°621S,077°54°033W,-77.9,-0.583333333333333,
00°36°269S,077°53.287W,-77.8881166666667,-0.6,
00°36.297S,077°53.349W,-77.88915,-0.60495,
